StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q3,Q4,Q5
2026-02-02 17:48:10,2026-02-02 18:00:29,0,84.158.116.133,100,739,1,2026-02-02 18:00:30,R_2NKQLX16uFnEGFC,,,,,49.1269,9.2286,anonymous,EN,3,7,4,3,7,5,5,6,5,5,4,24,2,4
2026-02-02 18:01:08,2026-02-02 18:25:28,0,84.158.116.133,100,1460,1,2026-02-02 18:25:29,R_8phhF6O8g6GOBEb,,,,,49.1269,9.2286,anonymous,EN,3,4,2,7,5,4,4,6,5,7,3,24,1,4
2026-02-02 18:25:31,2026-02-02 18:43:53,0,84.158.116.133,100,1102,1,2026-02-02 18:43:53,R_84OTqCg52Bv50Y8,,,,,49.1269,9.2286,anonymous,EN,3,6,5,4,6,2,7,2,5,6,4,20,2,3
2026-02-02 18:43:55,2026-02-02 18:59:25,0,84.158.116.133,100,929,1,2026-02-02 18:59:25,R_8104n3qqSW37Zvi,,,,,49.1269,9.2286,anonymous,EN,3,3,6,4,5,2,1,2,5,5,2,27,1,5
2026-02-02 19:00:46,2026-02-02 19:17:32,0,93.229.167.98,100,1005,1,2026-02-02 19:17:32,R_8CpnqieicF4c925,,,,,49.1269,9.2286,anonymous,EN,3,6,4,6,3,6,3,5,5,6,3,23,2,3
2026-02-02 19:17:41,2026-02-02 19:36:00,0,84.158.116.133,100,1099,1,2026-02-02 19:36:01,R_2EtbrZRj7msGC0n,,,,,49.1269,9.2286,anonymous,EN,3,6,3,4,4,4,6,4,5,2,6,21,1,3
2026-02-02 19:36:03,2026-02-02 19:50:04,0,84.158.116.133,100,841,1,2026-02-02 19:50:05,R_2DFRZphVyyDK28F,,,,,49.1269,9.2286,anonymous,EN,3,6,1,3,4,3,6,7,5,2,2,20,1,3
2026-02-02 19:50:07,2026-02-02 20:10:31,0,80.147.61.4,100,1224,1,2026-02-02 20:10:32,R_2n8sMekvITufxoR,,,,,49.1269,9.2286,anonymous,EN,3,7,5,2,5,5,3,3,5,2,1,25,2,2
2026-02-02 20:10:42,2026-02-02 20:30:08,0,80.147.61.4,100,1166,1,2026-02-02 20:30:09,R_8IsmxiUj4736DHi,,,,,50.8165,7.1137,anonymous,EN,3,4,5,5,6,4,4,2,5,6,7,.26,1,4
2026-02-02 20:30:11,2026-02-02 20:46:05,0,80.147.61.4,100,954,1,2026-02-02 20:46:05,R_8UWoxwt5PNmzRWc,,,,,50.8165,7.1137,anonymous,EN,3,7,4,6,4,5,6,3,5,6,2,24,2,6
2026-02-03 18:24:17,2026-02-03 19:25:43,0,84.140.199.246,100,3686,1,2026-02-03 19:25:44,R_8j749PmSq7pGWfA,,,,,49.1269,9.2286,anonymous,EN,3,6,4,3,6,3,5,3,5,6,1,27,2,5
2026-02-03 19:25:45,2026-02-03 20:03:25,0,84.158.116.133,100,2259,1,2026-02-03 20:03:25,R_8I60OwPeYptCWtz,,,,,49.1269,9.2286,anonymous,EN,3,5,4,6,2,5,4,6,5,4,6,25,2,4
2026-02-03 20:03:28,2026-02-03 21:19:18,0,84.158.116.133,100,4550,1,2026-02-03 21:19:19,R_8dHe7FA04RG2KOc,,,,,49.1269,9.2286,anonymous,EN,3,6,2,6,5,4,4,4,5,6,3,27,2,5
2026-02-03 21:20:01,2026-02-03 21:20:30,0,84.158.116.133,100,29,1,2026-02-03 21:20:31,R_8gZ2bvrbCsf6RW3,,,,,49.1269,9.2286,anonymous,EN,3,7,4,4,6,3,6,3,7,5,4,25,1,6
2026-02-03 21:20:32,2026-02-03 21:42:05,0,80.147.61.4,100,1292,1,2026-02-03 21:42:05,R_8nUszTXs7Lk2BJK,,,,,49.1269,9.2286,anonymous,EN,3,7,3,5,6,5,4,5,5,1,3,27,2,3
2026-02-03 21:42:07,2026-02-03 21:52:16,0,80.147.61.4,100,608,1,2026-02-03 21:52:16,R_8Dhb0uJSOwqmch2,,,,,50.8165,7.1137,anonymous,EN,3,4,5,4,3,5,6,6,5,4,3,24,2,6
2026-02-03 21:52:18,2026-02-03 22:01:44,0,84.158.116.133,100,566,1,2026-02-03 22:01:45,R_2ItJpsFNgTofKdW,,,,,50.8165,7.1137,anonymous,EN,3,7,5,5,1,6,5,3,5,4,6,19,1,4
2026-02-03 22:01:46,2026-02-03 22:15:35,0,84.158.116.133,100,828,1,2026-02-03 22:15:36,R_8Eaxj6MFgMYZ1AM,,,,,49.1269,9.2286,anonymous,EN,3,7,5,3,5,7,6,5,5,4,3,19,2,4
2026-02-04 19:38:40,2026-02-04 19:49:55,0,84.158.116.133,100,674,1,2026-02-04 19:49:56,R_8rV8PwI6W5N2sQi,,,,,49.1269,9.2286,anonymous,EN,3,7,3,6,6,6,5,4,5,7,5,26,2,5
2026-02-04 19:49:57,2026-02-04 20:06:38,0,84.158.116.133,100,1001,1,2026-02-04 20:06:39,R_8QxGlMkiclcEDxn,,,,,49.1269,9.2286,anonymous,EN,3,5,2,7,3,5,2,5,5,5,7,21,2,4
2026-02-04 20:06:40,2026-02-04 20:22:30,0,84.158.116.133,100,949,1,2026-02-04 20:22:30,R_2pluhGJNI4Zpwt8,,,,,49.1269,9.2286,anonymous,EN,4,3,6,2,5,7,3,4,5,2,4,19,1,4
2026-02-04 20:22:31,2026-02-04 20:23:50,0,84.158.116.133,100,79,1,2026-02-04 20:23:51,R_8A1q03k1TgEgCrL,,,,,49.1269,9.2286,anonymous,EN,3,6,7,6,5,5,7,5,7,2,7,23,1,2
2026-02-04 20:23:52,2026-02-04 20:38:30,0,84.158.116.133,100,878,1,2026-02-04 20:38:30,R_8vlkDiRSU6yZPbZ,,,,,49.1269,9.2286,anonymous,EN,3,5,6,5,3,6,4,5,4,6,3,26,2,3
2026-02-04 20:39:02,2026-02-04 21:26:18,0,84.140.193.114,100,2836,1,2026-02-04 21:26:19,R_2EiXoNGhKIUxcSo,,,,,49.1269,9.2286,anonymous,EN,3,6,5,5,4,7,4,4,5,6,4,21,3,5
2026-02-04 21:26:21,2026-02-04 21:45:37,0,84.158.116.133,100,1156,1,2026-02-04 21:45:37,R_8CjXX8z5tBHnWUn,,,,,49.1269,9.2286,anonymous,EN,3,6,6,5,3,2,6,5,5,4,6,20,2,3
2026-02-04 21:45:43,2026-02-04 21:59:37,0,84.158.116.133,100,834,1,2026-02-04 21:59:37,R_8VJJX9tkHoappU5,,,,,49.1269,9.2286,anonymous,EN,3,7,5,5,7,7,5,4,5,3,2,20,1,3
2026-02-04 22:01:11,2026-02-04 22:16:58,0,84.158.116.133,100,947,1,2026-02-04 22:16:58,R_8qZXKJq0S6imUup,,,,,49.1269,9.2286,anonymous,EN,3,7,5,7,4,3,4,4,5,6,4,21,1,3
2026-02-04 22:17:00,2026-02-04 22:27:40,0,84.158.116.133,100,639,1,2026-02-04 22:27:40,R_8pUfbbEj5uwjljX,,,,,49.1269,9.2286,anonymous,EN,3,6,4,6,3,7,5,2,5,6,3,20,1,5
2026-02-04 22:27:42,2026-02-04 22:36:28,0,84.158.116.133,100,526,1,2026-02-04 22:36:29,R_2QtrgGl3dcOeJvm,,,,,49.1269,9.2286,anonymous,EN,3,7,4,7,3,6,6,5,5,6,4,20,1,1
2026-02-04 22:36:31,2026-02-04 22:46:04,0,84.158.116.133,100,573,1,2026-02-04 22:46:05,R_8iEZ6qReb4NVIJl,,,,,49.1269,9.2286,anonymous,EN,3,6,4,7,4,6,4,6,5,7,5,19,1,5
2026-02-04 22:46:06,2026-02-04 22:56:00,0,84.158.116.133,100,593,1,2026-02-04 22:56:00,R_2XubivKgdWIec0h,,,,,49.1269,9.2286,anonymous,EN,3,5,6,4,7,6,4,4,5,6,4,21,2,4
2026-02-04 22:56:03,2026-02-04 23:17:12,0,84.140.193.114,100,1269,1,2026-02-04 23:17:13,R_8rNZpt1Pp12cE2Y,,,,,49.1269,9.2286,anonymous,EN,3,6,3,6,5,3,2,4,5,5,7,22,1,4
2026-02-04 23:17:15,2026-02-04 23:27:13,0,84.158.116.133,100,598,1,2026-02-04 23:27:13,R_2PyX7VaXujgmaBK,,,,,49.1269,9.2286,anonymous,EN,3,5,4,3,5,6,4,5,4,6,3,22,3,5
2026-02-04 23:27:15,2026-02-04 23:51:20,0,84.158.116.133,100,1444,1,2026-02-04 23:51:21,R_22xXgXrYsiClRqf,,,,,49.1269,9.2286,anonymous,EN,3,5,6,5,6,4,5,6,5,6,4,20,1,3
2026-02-04 23:51:21,2026-02-05 00:03:14,0,80.147.61.4,100,712,1,2026-02-05 00:03:14,R_2XwFmtDqveNe9bz,,,,,49.1269,9.2286,anonymous,EN,3,4,1,4,6,6,5,5,5,4,6,26,1,6
